date,fishoil_price_peru,fish_price_global,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishmeal_price_hamburg,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators,fishing_hours_peru
2019-08-01,2231.8,6.04,877.48,1436.95,1457.89,793.21,776.0,18.81,72.04,4.32,35.49,3.51,59.51,1478.18,19.3,43.07,0.24,0.0
2019-07-01,2318.4,7.06,845.27,1496.12,1437.71,748.17,753.83,18.85,92.89,4.03,33.06,200.05,88.96,1507.61,23.89,55.39,11.8,0.0
2019-06-01,2143.0,7.37,840.01,1522.28,1391.97,742.89,725.0,18.84,95.26,5.68,33.47,679.15,143.82,1525.0,15.18,32.53,39.73,0.0
2019-05-01,2511.9,7.3,815.84,1511.52,1392.89,742.53,721.57,19.63,117.22,4.94,35.22,1049.27,195.22,1525.0,11.41,28.65,62.82,0.0
2019-04-01,2173.5,7.96,805.96,1505.38,1377.61,733.77,713.0,20.39,149.98,5.96,33.11,111.5,78.11,1504.55,10.67,23.19,6.44,0.0
2019-03-01,2084.1,8.02,808.68,1476.02,1370.38,750.33,711.71,20.54,197.11,4.8,34.52,0.43,68.85,1458.33,23.28,48.52,0.0,0.0
2019-02-01,2053.2,6.73,829.7,1472.28,1370.06,772.82,700.0,20.74,177.61,4.06,32.4,33.28,76.23,1466.25,27.93,57.36,1.77,0.0
2019-01-01,2669.3,7.48,859.73,1486.35,1379.77,747.79,688.13,20.47,197.02,5.09,31.89,302.45,116.22,1475.0,7.44,19.85,16.95,0.0
2018-12-01,2667.8,6.77,827.02,1480.06,1434.58,727.88,703.0,20.28,173.74,6.59,31.93,1034.95,188.84,1475.0,4.32,11.51,60.36,0.0
2018-11-01,1963.7,6.69,840.39,1479.22,1438.26,729.22,706.09,20.14,143.96,6.77,29.17,868.17,171.23,1475.0,8.46,16.62,46.2,0.0
2018-10-01,2097.0,7.09,850.55,1485.36,1433.63,752.37,718.04,19.99,136.67,6.49,29.57,6.6,62.2,1475.0,10.24,21.47,0.29,0.0
2018-09-01,1703.5,7.34,821.47,1492.69,1442.29,754.05,733.95,19.53,94.29,6.92,22.93,0.81,49.96,1475.0,37.98,64.7,0.0,0.0
